"#Parameters = {L=149.416; Lf=38; Lg=192.8032053872; W=102.45668571429; Wf=3.1; Wg=107.84389110149; ataslengkung=17.811178807947; bawahlengkung=49.475496688742; dgs=160; h=0.89786756453423; sampingdgs=0; skala=8.5380571428571; t=0.019640852974186}";;;;
"#""Frequency / MHz""";S1,1 [Mag];S1,1 [Pha in deg.];Ref.Imp. [Mag];Ref.Imp. [Pha in deg.]
#---------------------------------------------------------------------------------------------;;;;
23.300.000.000.000;0.91442358426763;-86.818.855.556.002;35.034.201.428.197;0.0000000000000
23.339.999.389.648;0.91400538270235;-87.136.957.811.909;35.034.201.428.197;0.0000000000000
23.380.000.305.176;0.91358690649537;-87.455.108.229.331;35.034.201.428.197;0.0000000000000
23.419.999.694.824;0.91316812500532;-87.773.326.800.698;35.034.201.428.197;0.0000000000000
23.460.000.610.352;0.91274902433694;-88.091.613.605.515;35.034.201.428.197;0.0000000000000
23.500.000.000.000;0.91232940482421;-88.409.982.224.605;35.034.201.428.197;0.0000000000000
23.539.999.389.648;0.91190954998578;-88.728.439.830.968;35.034.201.428.197;0.0000000000000
23.580.000.305.176;0.91148909098851;-89.046.986.146.354;35.034.201.428.197;0.0000000000000
23.619.999.694.824;0.91106831126294;-89.365.635.041.029;35.034.201.428.197;0.0000000000000
23.660.000.610.352;0.91064707848250;-89.684.427.290.781;35.034.201.428.197;0.0000000000000
23.700.000.000.000;0.91022521408510;-90.003.301.485.823;35.034.201.428.197;0.0000000000000
23.739.999.389.648;0.90980288416048;-90.322.305.449.511;35.034.201.428.197;0.0000000000000
23.780.000.305.176;0.90937984738293;-90.641.452.878.857;35.034.201.428.197;0.0000000000000
23.819.999.694.824;0.90895622566715;-90.960.764.276.085;35.034.201.428.197;0.0000000000000
23.860.000.610.352;0.90853189411640;-91.280.219.045.286;35.034.201.428.197;0.0000000000000
23.900.000.000.000;0.90810685388480;-91.599.830.894.083;35.034.201.428.197;0.0000000000000
23.939.999.389.648;0.90768103936033;-91.919.593.007.168;35.034.201.428.197;0.0000000000000
23.980.000.305.176;0.90725440671256;-92.239.539.448.538;35.034.201.428.197;0.0000000000000
